,MK-1064,SB-674042,TCS-1102,TCS-OX2-29,d27,d32,d38,EMPA,Orexin 2 Receptor Antagonist
log(inhibitor) vs. response -- Variable slope (four parameters),,,,,,,,,
Best-fit values,,,,,,,,,
     Bottom,-0.3610,2.967,0.2225,-8.872,Unstable,70.70,Unstable,2.861,0.0007769
     Top,95.97,103.6,93.69,97.22,129.4,Unstable,110.7,8266,90.27
     LogIC50,-6.698,-6.682,-6.605,-5.885,10.64,Unstable,14.66,-11.45,-5.176
     HillSlope,-1.396,-0.8038,-1.433,-0.6930,-0.1119,Unstable,-0.1525,-0.7843,-5.261
     IC50,2.006e-007,2.079e-007,2.483e-007,1.304e-006,43307235917,Unstable,4.577e+014,3.511e-012,6.661e-006
     Span,96.34,100.6,93.47,106.1,Unstable,Unstable,Unstable,8263,90.27
95% CI (profile likelihood),,,,,,,,,
     Bottom,-15.52 to 12.69,-57.46 to 19.56,-8.836 to 8.901,-123.7 to 8.923,(Very wide),???,(Very wide),-4.851 to 9.926,-20.28 to 18.19
     Top,82.10 to 114.7,86.44 to 172.9,85.03 to 102.6,83.21 to 138.4,71.07 to ???,(Very wide),86.25 to 218.4,???,80.20 to 101.7
     LogIC50,??? to -6.318,-7.446 to -5.950,??? to -6.348,-6.429 to -4.354,???,(Very wide),-5.033 to ???,???,???
     HillSlope,??? to -0.5669,??? to -0.1998,??? to -0.9150,??? to -0.1962,-1.574 to ???,(Very wide),-0.4151 to 0.04865,??? to -0.4861,???
     IC50,??? to 4.804e-007,3.582e-008 to 1.122e-006,??? to 4.486e-007,3.726e-007 to 4.425e-005,???,(Very wide),9.258e-006 to ???,???,???
Goodness of Fit,,,,,,,,,
     Degrees of Freedom,20,20,20,20,20,20,20,20,20
     R squared,0.8733,0.8432,0.9421,0.8923,0.6065,0.000,0.9084,0.9078,0.8400
     Sum of Squares,6398,7216,2600,4490,15012,55015,2304,3019,7462
     Sy.x,17.89,18.99,11.40,14.98,27.40,52.45,10.73,12.29,19.32
,,,,,,,,,
Number of points,,,,,,,,,
     # of X values,24,24,24,24,24,24,24,24,24
     # Y values analyzed,24,24,24,24,24,24,24,24,24
